Algorithm,MapSize,TotalCells,Time_ms,Attempts,PathLength
DFS,10x3x10,300,13.46946,1,27
ACO,10x3x10,300,375.1655,1,21
DFS,10x3x10,300,12.69031,3,27
ACO,10x3x10,300,312.614,1,23
DFS,10x3x10,300,21.93427,5,25
ACO,10x3x10,300,467.6161,1,21
DFS,10x3x10,300,16.24584,5,25
ACO,10x3x10,300,287.4951,1,23
DFS,10x3x10,300,8.6236,1,23
ACO,10x3x10,300,334.7139,1,21
DFS,20x4x20,1600,57.09505,1,72
ACO,20x4x20,1600,955.8048,1,42
DFS,20x4x20,1600,68.06946,4,56
ACO,20x4x20,1600,963.9335,1,44
DFS,20x4x20,1600,60.54449,2,54
ACO,20x4x20,1600,1038.528,1,44
DFS,20x4x20,1600,56.65207,1,68
ACO,20x4x20,1600,946.3539,1,42
DFS,20x4x20,1600,55.99499,1,98
ACO,20x4x20,1600,1168.287,1,46
DFS,30x5x30,4500,193.0189,3,103
ACO,30x5x30,4500,1456.979,1,75
DFS,30x5x30,4500,205.7924,4,109
ACO,30x5x30,4500,1900.077,1,-1
DFS,30x5x30,4500,179.8191,1,79
ACO,30x5x30,4500,1602.892,1,-1
DFS,30x5x30,4500,179.0619,1,95
ACO,30x5x30,4500,1814.091,1,69
DFS,30x5x30,4500,182.1232,1,97
ACO,30x5x30,4500,1942.198,1,81
