Algorithm,MapSize,TotalCells,Time_ms,Attempts,PathLength
DFS,10x3x10,300,12.36749,1,33
ACO,10x3x10,300,66.76388,1,21
DFS,10x3x10,300,7.851839,1,27
ACO,10x3x10,300,62.69717,1,21
DFS,10x3x10,300,7.624388,1,27
ACO,10x3x10,300,52.97136,1,21
DFS,10x3x10,300,15.05256,2,55
ACO,10x3x10,300,59.11493,1,21
DFS,10x3x10,300,12.38275,3,33
ACO,10x3x10,300,67.74521,1,21
DFS,20x4x20,1600,55.00054,2,104
ACO,20x4x20,1600,214.1306,1,46
DFS,20x4x20,1600,55.81665,2,68
ACO,20x4x20,1600,201.3476,1,46
DFS,20x4x20,1600,65.26828,3,66
ACO,20x4x20,1600,215.8041,1,42
DFS,20x4x20,1600,107.3902,4,58
ACO,20x4x20,1600,183.6815,1,42
DFS,20x4x20,1600,49.14904,1,64
ACO,20x4x20,1600,196.25,1,46
DFS,30x5x30,4500,160.2097,2,91
ACO,30x5x30,4500,195.9057,1,-1
DFS,30x5x30,4500,169.2438,3,95
ACO,30x5x30,4500,376.2836,1,101
DFS,30x5x30,4500,321.7206,3,81
ACO,30x5x30,4500,412.2233,1,-1
DFS,30x5x30,4500,154.2745,1,101
ACO,30x5x30,4500,370.9278,1,93
DFS,30x5x30,4500,163.3697,2,113
ACO,30x5x30,4500,411.7408,1,117
